vessel_name,year,num_deaths,num_passengers,num_adults,num_children,uk_port,aus_port,num_infant_deaths,num_child_deaths,num_adult_deaths,num_live_births,notes,source,passenger_deaths_percent,num_arriving_passengers
Emma,1836,0.0,38.0,28.0,10.0,London,"Kangaroo Island_& 
Glenelg ",0.0,0.0,0.0,,No Deaths,as above,0.0,38.0
Tam O'Shanter,1836,1.0,74.0,57.0,17.0,London,"Kangaroo Island_& 
Glenelg ",0.0,0.0,1.0,,Death = 1 adult female no age or cause of death,as above,1.3513513513513513,73.0
John Pirie,1836,1.0,43.0,32.0,11.0,London,"Kangaroo Island_& 
Glenelg ",0.0,0.0,1.0,0.0,Death = adult female no age or cause of death,as above,2.3255813953488373,42.0
Cygnet,1836,0.0,84.0,67.0,17.0,London,"Kangaroo Island_& 
Glenelg ",0.0,0.0,0.0,1.0,No Deaths,as above,0.0,84.0
Africaine,1836,2.0,105.0,76.0,29.0,London,"Kangaroo Island_& 
Glenelg ",0.0,0.0,2.0,1.0,Deaths = two adult males died in the bush on KI,as above,1.9047619047619049,103.0
Duke of York,1836,1.0,42.0,38.0,4.0,London,"Kangaroo Island_& 
Glenelg ",1.0,0.0,0.0,1.0, Deaths = infant under 1 yr.,"https://www.pioneerssa.org.au/sameships_ships_1836-1846.html from •	South Australian Records Prior to 1841 (Opie)
•Migrant Ships for South Australia 1836-1866 (Ronald Parsons), Shipping Arrivals and Departures South Australia 1627-1850 (Sexton); The Land of Promise (John Stephens)",2.380952380952381,41.0
Lady Mary Pelham,1836,1.0,29.0,27.0,2.0,Liverpool,"Kangaroo Island_& 
Glenelg ",0.0,0.0,0.0,0.0,"Deaths = 2 adult males. One man  age 25 yrs- ""first mate- excessive drinking brought on brain fever - died after 4 days of delirium - barley one month at sea"". Other man was also crew no age or cause of death",chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.pioneerssa.org.au/files/Pub%20119_Early%20Deaths%20Edition%203%20.pdf,3.4482758620689653,28.0
HMS Buffalo,1836,2.0,176.0,124.0,52.0,Portsmouth,Port Lincoln_Glenelg,0.0,0.0,2.0,0.0," Deaths = 2 adult males no age given. One lost over board & one died of consumption.     87 x ""Assisted/free Passage labourers"". Passengers = adults = 52 males & 35 female. Incl. The new Governor & family",chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.pioneerssa.org.au/files/Pub%20119_Early%20Deaths%20Edition%203%20.pdf,1.1363636363636365,174.0
Rapid,1836,0.0,48.0,46.0,2.0,London,"Kangaroo Island_& 
Glenelg ",0.0,0.0,0.0,,No Deaths.  The colony's first doctor (DR John Woodforde),as above,0.0,48.0
South Australian,1837,0.0,63.0,46.0,17.0,Plymouth,Kangaroo Island,0.0,0.0,0.0,1.0,Arrival in KI on 22.04.1837.,as above,0.0,63.0
